"","Reporting.country","Counterparty.country","X2018.Q2"
"822","United States","Finland",15428
"823","Australia","France",22985.918
"824","Austria","France",11968.121
"825","Belgium","France",21677
"826","Brazil","France",1338
"827","Canada","France",41365.484
"828","Chile","France",504.563
"829","Chinese Taipei","France",8087
"830","Denmark","France",18034
"831","Finland","France",3250
"832","France","France",125049
"833","Germany","France",197026
"834","Greece","France",1284
"835","India","France",547.387
"836","Ireland","France",4259.592
"837","Italy","France",84758.385
"838","Japan","France",180179.709
"839","Mexico","France",41.234
"840","Netherlands","France",62784.159
"841","Panama","France",25
"842","Portugal","France",2244.495
"843","South Korea","France",3638.559
"844","Spain","France",68151.115
"845","Switzerland","France",87822.024
"846","Turkey","France",932.807
"847","United Kingdom","France",196863
"848","United States","France",275123
"849","Australia","French Polynesia",4.817
"850","France","French Polynesia",1339
"851","Spain","French Polynesia",2.058
"852","Sweden","French Polynesia",0.196
"853","Switzerland","French Polynesia",42.138
"854","United Kingdom","French Polynesia",2
"855","Belgium","Gabon",2
"856","France","Gabon",847
"857","Ireland","Gabon",0.184
"858","Italy","Gabon",194.499
"859","Japan","Gabon",12.2
"860","Spain","Gabon",85.518
"861","Switzerland","Gabon",51.629
"862","Turkey","Gabon",0.004
"863","United Kingdom","Gabon",93
"864","Australia","Gambia",1.25
"865","Austria","Gambia",0.189
"866","France","Gambia",1
"867","Ireland","Gambia",0.364
"868","Spain","Gambia",1.726
"869","Sweden","Gambia",0.027
"870","Switzerland","Gambia",1.998
"871","United Kingdom","Gambia",27
"872","Australia","Georgia",0.396
"873","Austria","Georgia",31.783
"874","Belgium","Georgia",5
"875","Denmark","Georgia",1
"876","France","Georgia",208
"877","Ireland","Georgia",0.399
"878","Italy","Georgia",36.449
"879","Japan","Georgia",26.7
"880","Spain","Georgia",5.187
"881","Sweden","Georgia",1.053
"882","Switzerland","Georgia",212.494
"883","Turkey","Georgia",70.453
"884","United Kingdom","Georgia",21
"885","Australia","Germany",17985.44
"886","Austria","Germany",38159.266
"887","Belgium","Germany",10898
"888","Brazil","Germany",742
"889","Canada","Germany",36099.88
"890","Chile","Germany",115.446
"891","Chinese Taipei","Germany",4645
"892","Denmark","Germany",14682
"893","Finland","Germany",4625
"894","France","Germany",136119
"895","Germany","Germany",205778
"896","Greece","Germany",3434
"897","India","Germany",2050.526
"898","Ireland","Germany",1062.191
"899","Italy","Germany",72943.909
"900","Japan","Germany",109683.814
"901","Mexico","Germany",122.495
"902","Panama","Germany",262
"903","Portugal","Germany",3038.212
"904","South Korea","Germany",8221.789
"905","Spain","Germany",29585.12
"906","Switzerland","Germany",88234.863
"907","Turkey","Germany",2547.403
"908","United Kingdom","Germany",189888
"909","United States","Germany",253628
"910","Australia","Ghana",27.802
"911","Austria","Ghana",83.038
"912","Belgium","Ghana",232
"913","Canada","Ghana",1.293
"914","Chinese Taipei","Ghana",46
"915","Denmark","Ghana",7
"916","France","Ghana",2033
"917","Ireland","Ghana",0.491
"918","Spain","Ghana",57.801
"919","Sweden","Ghana",198.25
"920","Switzerland","Ghana",243.562
"921","Turkey","Ghana",110.955
"922","United Kingdom","Ghana",2192
"923","Australia","Gibraltar",0.142
"924","Austria","Gibraltar",13.919
"925","Belgium","Gibraltar",4
"926","Canada","Gibraltar",7.164
"927","Chinese Taipei","Gibraltar",25
"928","Denmark","Gibraltar",31
"929","France","Gibraltar",538
"930","Greece","Gibraltar",10
"931","Ireland","Gibraltar",51.285
"932","Italy","Gibraltar",31.801
"933","Spain","Gibraltar",169.437
"934","Sweden","Gibraltar",110.496
"935","Switzerland","Gibraltar",796.334
"936","United Kingdom","Gibraltar",747
"937","Australia","Greece",161.494
"938","Austria","Greece",111.758
"939","Belgium","Greece",28
"940","Denmark","Greece",8
"941","France","Greece",2322
"942","Greece","Greece",15976
"943","Ireland","Greece",9.377
"944","Italy","Greece",3218.604
"945","Japan","Greece",353.32
"946","Panama","Greece",2
"947","South Korea","Greece",233.989
"948","Spain","Greece",853.472
"949","Switzerland","Greece",3449.806
"950","Turkey","Greece",0.791
"951","United Kingdom","Greece",14840
"952","United States","Greece",19702
"953","Denmark","Greenland",612
"954","France","Greenland",1
"955","Sweden","Greenland",102.461
"956","Switzerland","Greenland",0.003
"957","Austria","Grenada",0.002
"958","Canada","Grenada",9.295
"959","France","Grenada",6
"960","Switzerland","Grenada",11.332
"961","United Kingdom","Grenada",9
"962","Australia","Guatemala",0.004
"963","Austria","Guatemala",1.013
"964","Belgium","Guatemala",54
"965","Canada","Guatemala",793.318
"966","Chinese Taipei","Guatemala",4
"967","France","Guatemala",9
"968","Spain","Guatemala",164.085
"969","Sweden","Guatemala",0.036
"970","Switzerland","Guatemala",357.421
"971","United Kingdom","Guatemala",108
"972","Australia","Guernsey",1276.196
"973","Austria","Guernsey",203.531
"974","Belgium","Guernsey",144
"975","Chinese Taipei","Guernsey",97
"976","Denmark","Guernsey",8108
"977","France","Guernsey",3539
"978","Greece","Guernsey",22
"979","Ireland","Guernsey",75.369
"980","Italy","Guernsey",327.276
"981","Japan","Guernsey",4500.2
"982","Panama","Guernsey",2
"983","South Korea","Guernsey",15.226
"984","Spain","Guernsey",1028.404
"985","Sweden","Guernsey",7823.936
"986","Switzerland","Guernsey",7683.883
"987","United Kingdom","Guernsey",8495
"988","Australia","Guinea",0.036
"989","Austria","Guinea",0.56
"990","France","Guinea",401
"991","Italy","Guinea",5.309
"992","Spain","Guinea",3.316
"993","Sweden","Guinea",0.005
"994","Switzerland","Guinea",10.368
"995","United Kingdom","Guinea",4
"996","Australia","Guinea-Bissau",0.004
"997","Portugal","Guinea-Bissau",2.3
"998","Spain","Guinea-Bissau",1.078
"999","Switzerland","Guinea-Bissau",0.482
"1000","United Kingdom","Guinea-Bissau",33
"1001","Canada","Guyana",8.213
"1002","France","Guyana",2
"1003","Sweden","Guyana",0.013
"1004","Australia","Haiti",0.006
"1005","Chinese Taipei","Haiti",2
"1006","France","Haiti",14
"1007","Spain","Haiti",1.551
"1008","Switzerland","Haiti",8.383
"1009","United Kingdom","Haiti",5
"1010","Austria","Honduras",139.936
"1011","Belgium","Honduras",5
"1012","Chinese Taipei","Honduras",6
"1013","France","Honduras",303
"1014","Italy","Honduras",75.494
"1015","Mexico","Honduras",47.723
"1016","Spain","Honduras",52.239
"1017","Sweden","Honduras",28.263
"1018","Switzerland","Honduras",-171.723
"1019","United Kingdom","Honduras",33
"1020","Australia","Hong Kong SAR",26032.886
"1021","Austria","Hong Kong SAR",933.642
"1022","Belgium","Hong Kong SAR",609
"1023","Brazil","Hong Kong SAR",4
"1024","Canada","Hong Kong SAR",3834.928
"1025","Chile","Hong Kong SAR",54.238
"1026","Chinese Taipei","Hong Kong SAR",51185
"1027","Denmark","Hong Kong SAR",435
"1028","Finland","Hong Kong SAR",9
"1029","France","Hong Kong SAR",37391
"1030","Greece","Hong Kong SAR",11
"1031","India","Hong Kong SAR",6419.174
"1032","Ireland","Hong Kong SAR",39.525
"1033","Italy","Hong Kong SAR",2666.76
"1034","Japan","Hong Kong SAR",74888.032
"1035","Netherlands","Hong Kong SAR",12590.64
"1036","Panama","Hong Kong SAR",2
"1037","South Korea","Hong Kong SAR",23003.132
"1038","Spain","Hong Kong SAR",6066.271
"1039","Switzerland","Hong Kong SAR",58457.534
"1040","Turkey","Hong Kong SAR",4.281
"1041","United Kingdom","Hong Kong SAR",163709
"1042","United States","Hong Kong SAR",77324
"1043","Australia","Hungary",64.636
"1044","Austria","Hungary",8516.404
"1045","Belgium","Hungary",2981
"1046","Brazil","Hungary",119
"1047","Canada","Hungary",73.84
"1048","Chinese Taipei","Hungary",126
"1049","Denmark","Hungary",219
"1050","France","Hungary",1443
"1051","Greece","Hungary",1
"1052","Ireland","Hungary",7.069
"1053","Italy","Hungary",5692.638
"1054","Japan","Hungary",1674.42
"1055","South Korea","Hungary",1658.666
"1056","Spain","Hungary",160.393
"1057","Sweden","Hungary",89.637
"1058","Switzerland","Hungary",960.596
"1059","Turkey","Hungary",0.465
"1060","United Kingdom","Hungary",901
"1061","United States","Hungary",1816
"1062","Australia","Iceland",0.122
"1063","Austria","Iceland",7.054
"1064","Belgium","Iceland",77
"1065","Denmark","Iceland",188
"1066","France","Iceland",189
"1067","Greece","Iceland",2
"1068","Ireland","Iceland",0.461
"1069","Japan","Iceland",25.5
"1070","Portugal","Iceland",32.271
"1071","Spain","Iceland",57.838
"1072","Sweden","Iceland",321.164
"1073","Switzerland","Iceland",64.072
"1074","Turkey","Iceland",0.12
"1075","United Kingdom","Iceland",77
"1076","Australia","India",5896.354
"1077","Austria","India",346.99
"1078","Belgium","India",461
"1079","Brazil","India",40
"1080","Canada","India",2504.749
"1081","Chile","India",37.472
"1082","Chinese Taipei","India",5322
"1083","Denmark","India",97
"1084","France","India",21920
"1085","Greece","India",5
"1086","Ireland","India",33.933
"1087","Italy","India",770.435
"1088","Japan","India",46334.933
"1089","Panama","India",4
"1090","South Korea","India",9056.022
"1091","Spain","India",598.028
"1092","Switzerland","India",5880.995
"1093","Turkey","India",0.901
"1094","United Kingdom","India",44749
"1095","United States","India",57429
"1096","Australia","Indonesia",2704.872
"1097","Austria","Indonesia",522.119
"1098","Belgium","Indonesia",87
"1099","Brazil","Indonesia",9
"1100","Canada","Indonesia",839.517
"1101","Chinese Taipei","Indonesia",4949
"1102","Denmark","Indonesia",24
"1103","France","Indonesia",7337
"1104","India","Indonesia",588.4
"1105","Ireland","Indonesia",0.443
"1106","Italy","Indonesia",650.489
"1107","Japan","Indonesia",37429.834
"1108","South Korea","Indonesia",10767.428
"1109","Spain","Indonesia",166.55
"1110","Sweden","Indonesia",129.912
"1111","Switzerland","Indonesia",7259.526
"1112","Turkey","Indonesia",0.031
"1113","United Kingdom","Indonesia",16366
"1114","United States","Indonesia",16625
"1115","Australia","International organisations",13802.578
"1116","Austria","International organisations",4966.604
"1117","Belgium","International organisations",926
"1118","Canada","International organisations",24499.294
"1119","Chinese Taipei","International organisations",2698
"1120","Denmark","International organisations",1035
"1121","Finland","International organisations",1584
"1122","France","International organisations",31827
"1123","Germany","International organisations",46871
"1124","Greece","International organisations",1295
"1125","India","International organisations",0.141
"1126","Ireland","International organisations",3214.582
"1127","Japan","International organisations",20687.7
"1128","Mexico","International organisations",7.798
"1129","Portugal","International organisations",0.024
"1130","Spain","International organisations",559.317
"1131","Switzerland","International organisations",24805.28
"1132","Turkey","International organisations",0.004
"1133","United Kingdom","International organisations",44418
"1134","United States","International organisations",32313
"1135","Australia","Iran",7.072
"1136","Austria","Iran",1.023
"1137","Belgium","Iran",2
"1138","Canada","Iran",33.791
"1139","Chinese Taipei","Iran",6
"1140","Denmark","Iran",79
"1141","France","Iran",139
"1142","Greece","Iran",2
"1143","Japan","Iran",120.6
"1144","Spain","Iran",25.241
"1145","Sweden","Iran",76.629
"1146","Switzerland","Iran",27.448
"1147","Turkey","Iran",3.536
"1148","United Kingdom","Iran",3
"1149","Australia","Iraq",1.009
"1150","Austria","Iraq",3.728
"1151","Belgium","Iraq",2
"1152","Canada","Iraq",0.924
"1153","Denmark","Iraq",1
"1154","France","Iraq",480
"1155","Italy","Iraq",51.819
"1156","Japan","Iraq",98.9
"1157","Spain","Iraq",4.215
"1158","Sweden","Iraq",79.883
"1159","Switzerland","Iraq",188.507
"1160","Turkey","Iraq",226.593
"1161","United Kingdom","Iraq",728
"1162","Australia","Ireland",6184.692
"1163","Austria","Ireland",3666.807
"1164","Belgium","Ireland",1012
"1165","Canada","Ireland",42165.037
"1166","Chinese Taipei","Ireland",1543
"1167","Denmark","Ireland",4288
"1168","France","Ireland",74943
"1169","Greece","Ireland",485
"1170","Ireland","Ireland",4081.588
"1171","Italy","Ireland",13692.923
"1172","Japan","Ireland",52098.458
"1173","Panama","Ireland",215
"1174","South Korea","Ireland",973.745
"1175","Spain","Ireland",25226.934
"1176","Sweden","Ireland",3765.237
"1177","Switzerland","Ireland",18627.047
"1178","Turkey","Ireland",887.681
"1179","United Kingdom","Ireland",65243
"1180","United States","Ireland",131342
"1181","Australia","Isle of Man",137.473
"1182","Austria","Isle of Man",96.92
"1183","Belgium","Isle of Man",44
"1184","Canada","Isle of Man",216.297
"1185","Chinese Taipei","Isle of Man",61
"1186","Denmark","Isle of Man",115
"1187","France","Isle of Man",1323
"1188","Greece","Isle of Man",360
"1189","Ireland","Isle of Man",330.589
"1190","Japan","Isle of Man",1163.8
"1191","South Korea","Isle of Man",31.479
"1192","Spain","Isle of Man",1508.523
"1193","Sweden","Isle of Man",360.603
"1194","Switzerland","Isle of Man",3636.967
"1195","United Kingdom","Isle of Man",4282
"1196","Australia","Israel",48.843
"1197","Austria","Israel",87.094
"1198","Belgium","Israel",52
"1199","Canada","Israel",188.115
"1200","Chinese Taipei","Israel",67
"1201","Denmark","Israel",23
"1202","France","Israel",1440
"1203","Greece","Israel",38
"1204","India","Israel",138.075
"1205","Ireland","Israel",1.316
"1206","Italy","Israel",518.113
"1207","Japan","Israel",1467.441
"1208","Panama","Israel",15
"1209","South Korea","Israel",59.561
"1210","Spain","Israel",106.752
"1211","Switzerland","Israel",5845.426
"1212","Turkey","Israel",2.414
"1213","United Kingdom","Israel",2320
"1214","United States","Israel",7260
"1215","Australia","Italy",1122.791
"1216","Austria","Italy",5216.432
"1217","Belgium","Italy",5358
"1218","Brazil","Italy",229
"1219","Canada","Italy",624.31
"1220","Chile","Italy",20.751
"1221","Chinese Taipei","Italy",241
"1222","Denmark","Italy",435
"1223","Finland","Italy",19
"1224","France","Italy",116006
"1225","Germany","Italy",59206
"1226","Greece","Italy",1240
"1227","India","Italy",525.772
"1228","Ireland","Italy",1498.454
"1229","Italy","Italy",59078.648
"1230","Japan","Italy",29356.544
"1231","Panama","Italy",14
"1232","Portugal","Italy",7261.006
"1233","South Korea","Italy",755.728
"1234","Spain","Italy",87856.059
"1235","Sweden","Italy",918.115
"1236","Switzerland","Italy",16120.775
"1237","Turkey","Italy",359.99
"1238","United Kingdom","Italy",17708
"1239","United States","Italy",80450
"1240","Australia","Jamaica",0.106
"1241","Austria","Jamaica",0.296
"1242","Canada","Jamaica",1221.993
"1243","France","Jamaica",86
"1244","Ireland","Jamaica",20.845
"1245","Japan","Jamaica",23.2
"1246","Spain","Jamaica",30.596
"1247","Sweden","Jamaica",0.039
"1248","Switzerland","Jamaica",136.575
"1249","United Kingdom","Jamaica",107
"1250","Australia","Japan",23644.638
"1251","Austria","Japan",473.496
"1252","Belgium","Japan",1300
"1253","Brazil","Japan",250
"1254","Canada","Japan",53786.768
"1255","Chile","Japan",24.093
"1256","Chinese Taipei","Japan",12660
"1257","Denmark","Japan",315
"1258","France","Japan",121890
"1259","Greece","Japan",94
"1260","India","Japan",1198.976
"1261","Ireland","Japan",59.233
"1262","Italy","Japan",9479.811
"1263","Mexico","Japan",6.015
"1264","Netherlands","Japan",7712.933
"1265","Panama","Japan",203
"1266","Portugal","Japan",158.021
"1267","South Korea","Japan",13130.853
"1268","Spain","Japan",16191.025
"1269","Sweden","Japan",2631.738
"1270","Switzerland","Japan",30733.504
"1271","Turkey","Japan",68.895
"1272","United Kingdom","Japan",80942
"1273","United States","Japan",261113
"1274","Australia","Jersey",751.72
"1275","Austria","Jersey",516.442
"1276","Belgium","Jersey",44
"1277","Canada","Jersey",1510.062
"1278","Chinese Taipei","Jersey",982
"1279","Denmark","Jersey",116
"1280","France","Jersey",6736
"1281","Greece","Jersey",62
"1282","India","Jersey",354.058
"1283","Ireland","Jersey",251.649
"1284","Italy","Jersey",1218.593
"1285","Japan","Jersey",17491.2
"1286","Spain","Jersey",2590.876
"1287","Sweden","Jersey",6533.885
"1288","Switzerland","Jersey",6586.041
"1289","Turkey","Jersey",0.021
"1290","United Kingdom","Jersey",30915
"1291","Australia","Jordan",3.515
"1292","Austria","Jordan",3.732
"1293","Belgium","Jordan",8
"1294","Canada","Jordan",102.683
"1295","Chinese Taipei","Jordan",7
"1296","Denmark","Jordan",5
"1297","France","Jordan",1051
"1298","Greece","Jordan",14
"1299","Italy","Jordan",32.863
"1300","Japan","Jordan",557.105
"1301","Spain","Jordan",64.586
"1302","Sweden","Jordan",73.562
"1303","Switzerland","Jordan",843.61
"1304","Turkey","Jordan",2.598
"1305","United Kingdom","Jordan",1892
"1306","Australia","Kazakhstan",4.846
"1307","Austria","Kazakhstan",27.507
"1308","Belgium","Kazakhstan",23
"1309","Canada","Kazakhstan",3.308
"1310","Chinese Taipei","Kazakhstan",5
"1311","Denmark","Kazakhstan",5
"1312","France","Kazakhstan",1362
"1313","Japan","Kazakhstan",976.2
"1314","Spain","Kazakhstan",44.149
"1315","Sweden","Kazakhstan",4.093
"1316","Switzerland","Kazakhstan",854.296
"1317","Turkey","Kazakhstan",95.779
"1318","United Kingdom","Kazakhstan",256
"1319","Australia","Kenya",33.88
"1320","Austria","Kenya",14.509
"1321","Belgium","Kenya",158
"1322","Denmark","Kenya",8
"1323","France","Kenya",1497
"1324","India","Kenya",175.02
"1325","Ireland","Kenya",1.126
"1326","Italy","Kenya",251.502
"1327","Japan","Kenya",787.03
"1328","Spain","Kenya",45.27
"1329","Sweden","Kenya",49.056
"1330","Switzerland","Kenya",1145.985
"1331","Turkey","Kenya",0.96
"1332","United Kingdom","Kenya",2864
"1333","Australia","Kiribati",4.107
"1334","United Kingdom","Kiribati",2
"1335","Australia","Kuwait",248.711
"1336","Austria","Kuwait",5.924
"1337","Belgium","Kuwait",2
"1338","Chinese Taipei","Kuwait",117
"1339","Denmark","Kuwait",12
"1340","France","Kuwait",2190
"1341","Greece","Kuwait",59
"1342","India","Kuwait",279.337
"1343","Ireland","Kuwait",4.12
"1344","Italy","Kuwait",1734.017
"1345","Japan","Kuwait",2173.635
"1346","South Korea","Kuwait",1031.753
"1347","Spain","Kuwait",1034.514
"1348","Sweden","Kuwait",126.663
"1349","Switzerland","Kuwait",1724.627
"1350","Turkey","Kuwait",6.813
"1351","United Kingdom","Kuwait",3519
"1352","United States","Kuwait",20759
"1353","Australia","Kyrgyz Republic",0.547
"1354","Austria","Kyrgyz Republic",0.998
"1355","Spain","Kyrgyz Republic",3.46
"1356","Switzerland","Kyrgyz Republic",2.596
"1357","Turkey","Kyrgyz Republic",0.487
"1358","Australia","Laos",80.818
"1359","Austria","Laos",0.12
"1360","Chinese Taipei","Laos",318
"1361","France","Laos",105
"1362","Italy","Laos",162.716
"1363","Japan","Laos",1061.8
"1364","Sweden","Laos",1.335
"1365","Switzerland","Laos",0.535
"1366","United Kingdom","Laos",133
"1367","Australia","Latvia",22.87
"1368","Austria","Latvia",150.496
"1369","Belgium","Latvia",26
"1370","Denmark","Latvia",36
"1371","Finland","Latvia",5
"1372","France","Latvia",71
"1373","Ireland","Latvia",0.006
"1374","Italy","Latvia",114.287
"1375","Japan","Latvia",12.1
"1376","South Korea","Latvia",8.74
"1377","Spain","Latvia",18.788
"1378","Sweden","Latvia",1155.634
"1379","Switzerland","Latvia",70.252
"1380","Turkey","Latvia",0.007
"1381","United Kingdom","Latvia",13
"1382","Australia","Lebanon",2.86
"1383","Austria","Lebanon",15.638
"1384","Belgium","Lebanon",6
"1385","Canada","Lebanon",5.731
"1386","Denmark","Lebanon",26
"1387","France","Lebanon",1575
"1388","Greece","Lebanon",2
"1389","Italy","Lebanon",274.348
"1390","Japan","Lebanon",275.517
"1391","Spain","Lebanon",320.847
"1392","Sweden","Lebanon",32.892
"1393","Switzerland","Lebanon",2719.066
"1394","Turkey","Lebanon",7.701
"1395","United Kingdom","Lebanon",2033
"1396","Australia","Lesotho",0.371
"1397","Sweden","Lesotho",1.179
"1398","Switzerland","Lesotho",0.002
"1399","Australia","Liberia",1095.318
"1400","Austria","Liberia",0.017
"1401","Belgium","Liberia",16
"1402","Chinese Taipei","Liberia",2719
"1403","Denmark","Liberia",128
"1404","France","Liberia",1578
"1405","Greece","Liberia",2846
"1406","Japan","Liberia",2760.5
"1407","Spain","Liberia",719.755
"1408","Sweden","Liberia",1604.877
"1409","Switzerland","Liberia",4968.114
"1410","Turkey","Liberia",0.004
"1411","United Kingdom","Liberia",1408
"1412","Australia","Libya",0.028
"1413","Austria","Libya",0.139
"1414","France","Libya",1
"1415","Italy","Libya",11.01
"1416","Japan","Libya",14.6
"1417","Spain","Libya",0.453
"1418","Sweden","Libya",0.008
"1419","Switzerland","Libya",62.765
"1420","Turkey","Libya",0.116
"1421","United Kingdom","Libya",88
"1422","Australia","Liechtenstein",15.111
"1423","Austria","Liechtenstein",348.7
"1424","Belgium","Liechtenstein",4
"1425","Denmark","Liechtenstein",39
"1426","France","Liechtenstein",619
"1427","Ireland","Liechtenstein",2.38
"1428","Portugal","Liechtenstein",2.778
"1429","Spain","Liechtenstein",11.601
"1430","Sweden","Liechtenstein",31.733
"1431","United Kingdom","Liechtenstein",225
"1432","Australia","Lithuania",0.14
"1433","Austria","Lithuania",202.966
"1434","Belgium","Lithuania",27
"1435","Denmark","Lithuania",933
"1436","France","Lithuania",458
"1437","Ireland","Lithuania",0.757
"1438","Italy","Lithuania",429.326
"1439","Japan","Lithuania",73.2
"1440","South Korea","Lithuania",19.284
"1441","Spain","Lithuania",24.922
"1442","Sweden","Lithuania",1236.002
"1443","Switzerland","Lithuania",28.224
"1444","Turkey","Lithuania",1.236
"1445","United Kingdom","Lithuania",544
"1446","Australia","Luxembourg",2275.825
"1447","Austria","Luxembourg",8381.757
"1448","Belgium","Luxembourg",6986
"1449","Brazil","Luxembourg",3896
"1450","Canada","Luxembourg",12974.915
"1451","Chile","Luxembourg",46.638
"1452","Chinese Taipei","Luxembourg",2313
"1453","Denmark","Luxembourg",19029
"1454","Finland","Luxembourg",310
"1455","France","Luxembourg",148942
"1456","Germany","Luxembourg",132817
"1457","Greece","Luxembourg",1287
"1458","India","Luxembourg",545.696
"1459","Ireland","Luxembourg",442.547
"1460","Italy","Luxembourg",25770.862
"1461","Japan","Luxembourg",166052.634
"1462","Netherlands","Luxembourg",16759.541
"1463","Panama","Luxembourg",207
"1464","South Korea","Luxembourg",1868.213
"1465","Spain","Luxembourg",19552.366
"1466","Switzerland","Luxembourg",35968.531
"1467","Turkey","Luxembourg",125.648
"1468","United Kingdom","Luxembourg",34745
"1469","United States","Luxembourg",103060
"1470","Australia","Macao SAR",188.65
"1471","Austria","Macao SAR",99.531
"1472","Chile","Macao SAR",4.596
"1473","Chinese Taipei","Macao SAR",1166
"1474","France","Macao SAR",1792
"1475","Italy","Macao SAR",12.359
"1476","Portugal","Macao SAR",1741.887
"1477","South Korea","Macao SAR",18.01
"1478","Spain","Macao SAR",257.538
"1479","Sweden","Macao SAR",9.435
"1480","Switzerland","Macao SAR",716.425
"1481","United Kingdom","Macao SAR",9741
"1482","Australia","Madagascar",1.011
"1483","Belgium","Madagascar",3
"1484","France","Madagascar",290
"1485","Italy","Madagascar",37.603
"1486","Spain","Madagascar",0.878
"1487","Sweden","Madagascar",0.118
"1488","Switzerland","Madagascar",23.921
"1489","United Kingdom","Madagascar",4
"1490","Australia","Malawi",0.596
"1491","France","Malawi",42
"1492","Sweden","Malawi",0.014
"1493","Switzerland","Malawi",1.126
"1494","United Kingdom","Malawi",76
"1495","Australia","Malaysia",3266.958
"1496","Austria","Malaysia",42.846
"1497","Belgium","Malaysia",7
"1498","Canada","Malaysia",563.407
"1499","Chinese Taipei","Malaysia",4554
"1500","Denmark","Malaysia",208
"1501","France","Malaysia",3128
"1502","India","Malaysia",323.982
"1503","Ireland","Malaysia",4.025
"1504","Italy","Malaysia",419.133
"1505","Japan","Malaysia",28411.657
"1506","South Korea","Malaysia",2461.141
"1507","Spain","Malaysia",155.635
"1508","Switzerland","Malaysia",4843.659
"1509","Turkey","Malaysia",2.353
"1510","United Kingdom","Malaysia",19278
"1511","United States","Malaysia",11000
"1512","Australia","Maldives",1.1
"1513","Austria","Maldives",0.059
"1514","France","Maldives",58
"1515","Italy","Maldives",16.113
"1516","Spain","Maldives",0.005
"1517","Sweden","Maldives",8.647
"1518","Switzerland","Maldives",70.383
"1519","United Kingdom","Maldives",540
"1520","Austria","Mali",5.906
"1521","Belgium","Mali",9
"1522","France","Mali",235
"1523","Italy","Mali",25.801
"1524","Spain","Mali",0.387
"1525","Sweden","Mali",2.357
"1526","Switzerland","Mali",15.508
"1527","Australia","Malta",91.97
"1528","Austria","Malta",154.618
"1529","Belgium","Malta",61
"1530","Brazil","Malta",20
"1531","Canada","Malta",291.037
"1532","Chinese Taipei","Malta",144
"1533","Denmark","Malta",30
"1534","Finland","Malta",2
"1535","France","Malta",1947
"1536","Greece","Malta",665
"1537","Ireland","Malta",257.64
"1538","South Korea","Malta",239.11
"1539","Spain","Malta",700.145
"1540","Sweden","Malta",1126.108
"1541","Switzerland","Malta",3032.151
"1542","Turkey","Malta",258.731
"1543","United Kingdom","Malta",1578
"1544","Australia","Marshall Islands",1051.472
"1545","Austria","Marshall Islands",69.384
"1546","Chinese Taipei","Marshall Islands",1081
"1547","Denmark","Marshall Islands",646
"1548","France","Marshall Islands",3239
"1549","Greece","Marshall Islands",4167
"1550","Spain","Marshall Islands",386.766
"1551","Sweden","Marshall Islands",3377.511
"1552","Switzerland","Marshall Islands",6137.622
"1553","Turkey","Marshall Islands",183.495
"1554","United Kingdom","Marshall Islands",2102
"1555","Australia","Mauritania",0.002
"1556","Austria","Mauritania",0.001
"1557","France","Mauritania",306
"1558","Spain","Mauritania",5.051
"1559","Sweden","Mauritania",0.006
"1560","Switzerland","Mauritania",16.248
"1561","Australia","Mauritius",162.065
"1562","Austria","Mauritius",0.548
"1563","Belgium","Mauritius",40
"1564","Canada","Mauritius",9.902
"1565","Chinese Taipei","Mauritius",527
"1566","Denmark","Mauritius",37
"1567","France","Mauritius",1223
"1568","India","Mauritius",1132.271
"1569","Ireland","Mauritius",0.375
"1570","Spain","Mauritius",63.969
"1571","Sweden","Mauritius",39.497
"1572","Switzerland","Mauritius",1698.528
"1573","United Kingdom","Mauritius",4320
"1574","Australia","Mexico",436.624
"1575","Austria","Mexico",136.693
"1576","Belgium","Mexico",223
"1577","Brazil","Mexico",429
"1578","Canada","Mexico",1073.465
"1579","Chile","Mexico",343.147
"1580","Chinese Taipei","Mexico",577
"1581","Denmark","Mexico",300
"1582","France","Mexico",10119
"1583","Greece","Mexico",2
"1584","Ireland","Mexico",20.365
"1585","Italy","Mexico",2584.494
"1586","Japan","Mexico",24633.529
"1587","Netherlands","Mexico",2934.319
"1588","Panama","Mexico",1660
"1589","South Korea","Mexico",4128.616
"1590","Spain","Mexico",57328.839
"1591","Sweden","Mexico",881.293
"1592","Switzerland","Mexico",6200.99
"1593","United Kingdom","Mexico",9547
"1594","United States","Mexico",34168
"1595","Australia","Micronesia",0.004
"1596","Switzerland","Micronesia",2.998
"1597","Austria","Moldova",111.905
"1598","Belgium","Moldova",3
"1599","France","Moldova",257
"1600","Ireland","Moldova",0.192
"1601","Italy","Moldova",98.589
"1602","Spain","Moldova",4.728
"1603","Sweden","Moldova",1.033
"1604","Switzerland","Moldova",0.896
"1605","Turkey","Moldova",0.071
"1606","Australia","Mongolia",313.306
"1607","Austria","Mongolia",22.64
"1608","Belgium","Mongolia",4
"1609","Chinese Taipei","Mongolia",3
"1610","France","Mongolia",738
"1611","Spain","Mongolia",76.578
"1612","Sweden","Mongolia",1.452
"1613","Switzerland","Mongolia",384.329
"1614","United Kingdom","Mongolia",234
"1615","Australia","Montenegro",0.284
"1616","Austria","Montenegro",213.408
"1617","Belgium","Montenegro",1
"1618","Denmark","Montenegro",1
"1619","France","Montenegro",162
"1620","Greece","Montenegro",21
"1621","Italy","Montenegro",94.274
"1622","Spain","Montenegro",0.244
"1623","Sweden","Montenegro",2.479
"1624","Switzerland","Montenegro",236.97
"1625","Turkey","Montenegro",4.667
